program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Urban and Regional Planning,baseline,,senior_fall,,UPL 407 or URP 520 (if in 5-yr prgm),3,,True,UPL 407 Legal Basis of Planning OR URP 520 Plan Legis/Zoning (if in 5-yr prgm),C,
Urban and Regional Planning,baseline,,senior_fall,,Minor Course,3,,True,,,
Urban and Regional Planning,baseline,,senior_fall,,Minor Course,3,,True,,,
Urban and Regional Planning,baseline,,senior_spring,,GEO 401 or UPL 200,3,,True,"GEO 401, UPL 200",C,
Urban and Regional Planning,baseline,,senior_spring,UPL 420,Senior Project,3,,False,,C,"[CS] capstone course, cannot be substituted."
Urban and Regional Planning,baseline,,senior_spring,,UPL 429 or URP 529 (if in 5-yr prgm),3,,True,UPL 429 Professional Practice OR URP 529 Prof Practice (if in 5-yr prgm),C,
Urban and Regional Planning,baseline,,senior_spring,,Minor Course,3,,True,,,
Urban and Regional Planning,baseline,,senior_spring,,Minor Course,3,,True,,,
Urban and Regional Planning,concentration,Urban Planning and Design,,UPL 101,Introduction to Urban Planning,3,,False,,D,
Urban and Regional Planning,concentration,Urban Planning and Design,,UPL 200,Global Cities,3,,False,,D,
Urban and Regional Planning,concentration,Urban Planning and Design,,UPL 250,Basic Planning Studies,3,,False,,D,
Urban and Regional Planning,concentration,Urban Planning and Design,,UPL 317,Studio I: Graphic and Site Design,3,,False,,D,
Urban and Regional Planning,concentration,Urban Planning and Design,,UPL 327,Land Use Planning II,3,,False,,D,
Urban and Regional Planning,concentration,Urban Planning and Design,,UPL 357,Studio II: Comprehensive Planning,3,,False,,D,
Urban and Regional Planning,concentration,Urban Planning and Design,,UPL 404,Social Issues in Planning,3,,False,,D,
Urban and Regional Planning,concentration,Transportation Management,,LSM 201,Intro to Logistics & SCM,3,,False,,D,
Urban and Regional Planning,concentration,Transportation Management,,LSM 323,Transportation Management,3,,False,,D,
Urban and Regional Planning,concentration,Transportation Management,,LSM 340,Advanced Logistics & SCM,3,,False,,D,
Urban and Regional Planning,concentration,Transportation Management,,UPL 250,Basic Planning Studies,3,,False,,D,
Urban and Regional Planning,concentration,Transportation Management,,UPL 420,Senior Project,3,,False,,D,
Urban and Regional Planning,concentration,Transportation Management,,UPL 435,Transportation Planning,3,,False,,D,
Urban and Regional Planning,concentration,Transportation Management,,UPL 438,Transportation Modeling,3,,False,,D,
Urban and Regional Planning,minor,Urban and Regional Planning Minor,,UPL 101,Introduction to Urban Planning,3,,False,,C,
Urban and Regional Planning,minor,Urban and Regional Planning Minor,,UPL 200,Global Cities,3,,False,,C,
Urban and Regional Planning,minor,Urban and Regional Planning Minor,,UPL 250,Basic Planning Studies,3,,False,,C,
Urban and Regional Planning,minor,Urban and Regional Planning Minor,,UPL 317,Studio I: Graphic and Site Design,3,,False,,C,
Urban and Regional Planning,minor,Urban and Regional Planning Minor,,UPL 357,Studio II: Comprehensive Planning,3,,False,,C,
Urban and Regional Planning,minor,Urban and Regional Planning Minor,,UPL 404,Social Issues in Planning,3,,False,,C,
